"Unnamed: 0,Company,Inactive,Quoted,Branch,OwnData,Woco,Codice ISO paese,""Codice NACE Rev. 2, core code (4 cifre)"",Codice di consolidamento,Ultimo anno disp.,""Totale valore della produzione"
"migl USD"",""Numero dipendenti"
"Ultimo anno disp."""
746.0,PZ CUSSONS NIGERIA PLC,No,Sì,No,No,No,NG,2042,C1,2023,244558.602548766,996
1010.0,UNILEVER NIGERIA PLC,No,Sì,No,No,No,NG,2041,C1,2023,134664.209980918,610
1623.0,CHEMICAL AND ALLIED PRODUCTS PLC,No,Sì,No,No,No,NG,2030,C1,2023,27384.5489719464,264
1635.0,NOTORE CHEMICAL INDUSTRIES PLC,No,Sì,No,No,No,NG,2015,C1,2023,25734.9815976201,441
33.0,AKZO NOBEL NV,No,Sì,No,No,Sì,NL,2030,C1,2023,11856655.3211212,35200
90.0,OCI N.V.,No,Sì,No,No,No,NL,2015,C1,2023,5040000.0,4141
91.0,IMCD N.V.,No,Sì,No,No,Sì,NL,2059,C1,2023,4939544.48680687,4736
1097.0,HOLLAND COLOURS NV,No,Sì,No,No,No,NL,2030,C1,2023,111661.387535334,410
1617.0,AVANTIUM N.V.,No,Sì,No,No,Sì,NL,2059,C1,2023,28165.3576402664,288
372.0,BORREGAARD ASA,No,Sì,No,No,Sì,NO,2014,C1,2023,701278.284519911,1127
203.0,ENGRO CORPORATION LIMITED,No,Sì,No,No,Sì,PK,2015,C1,2023,1749913.33299529,2742
320.0,FATIMA FERTILIZER COMPANY LIMITED,No,Sì,No,No,No,PK,2015,C1,2023,872041.530309533,4626
345.0,ENGRO FERTILIZERS LIMITED,No,Sì,No,No,No,PK,2015,C1,2023,793804.625107547,1214
394.0,FAUJI FERTILIZER COMPANY LIMITED,No,Sì,No,No,Sì,PK,2015,C1,2023,653128.819815789,3590
467.0,MARI PETROLEUM COMPANY LIMITED,No,Sì,No,No,No,PK,2014,C1,2023,508989.932671963,1618
352.0,GRUPA AZOTY ZAKLADY CHEMICZNE POLICE S.A.,No,Sì,No,No,Sì,PL,2015,C1,2023,777107.788587362,3361
403.0,PCC ROKITA S.A.,No,Sì,No,No,No,PL,2014,C1,2023,630716.676034033,1460
758.0,PCC EXOL S.A.,No,Sì,No,No,No,PL,2059,C1,2023,241026.441151649,321
787.0,FABRYKA FARB I LAKIEROW SNIEZKA S.A,No,Sì,No,No,No,PL,2030,C1,2023,218883.365111053,1140
1085.0,GLOBAL COSMED S.A.,No,Sì,No,No,No,PL,2059,C1,2023,113646.511221677,537
640.0,CHIMCOMPLEX BORZESTI SA ONESTI,No,Sì,No,No,Sì,RO,2014,C2,2023,312961.657973662,1728
1196.0,ALUM S.A,No,Sì,No,No,No,RO,2013,C2,2023,91519.6419790685,655
32.0,UNITED COMPANY RUSAL INTERNATIONAL PUBLIC JOINT-STOCK COMPANY,No,Sì,No,No,Sì,RU,2013,C1,2023,12213000.0,49493
804.0,AKTSIONERNOE OBSCHESTVO OMSKIY KAUCHUK,No,Sì,No,No,Sì,RU,2017,C2,2023,209637.145934626,2856
942.0,JOINT STOCK COMPANY NEVSKAYA KOSMETIKA,No,Sì,No,No,Sì,RU,2042,C1,2023,158021.831430653,511
1143.0,AKTSIONERNOE OBSCHESTVO KRIOGENNOGO MASHINOSTROENIYA,No,Sì,No,No,Sì,RU,2011,U2,2023,101065.809381443,1072
1156.0,JOINT STOCK COMPANY BEREZNIKI SODA PLANT,No,Sì,No,No,No,RU,2013,C1,2023,97309.243739049,1824
134.0,SABIC AGRI-NUTRIENTS COMPANY (A SAUDI JOINT STOCK COMPANY),No,Sì,No,No,No,SA,2015,C1,2023,3092719.36129788,1266
168.0,SAUDI KAYAN PETROCHEMICAL COMPANY SAUDI JOINT STOCK COMPANY,No,Sì,No,No,Sì,SA,2059,C1,2023,2195187.31448793,1301
180.0,SAHARA INTERNATIONAL PETROCHEMICAL COMPANY( (SAUDI JOINT STOCK COMPANY),No,Sì,No,No,Sì,SA,2014,C1,2023,2031451.03928176,1233
392.0,NATIONAL GAS AND INDUSTRIALIZATION COMPANY (SAUDI JOINT STOCK COMPANY),No,Sì,No,No,Sì,SA,2011,C1,2023,655605.100859135,1977
402.0,ADVANCED PETROCHEMICAL COMPANY SAUDI JOINT STOCK COMPANY,No,Sì,No,No,Sì,SA,2059,C1,2023,632937.099676907,574
167.0,HEXPOL AB,No,Sì,No,No,No,SE,2017,C1,2023,2202139.17799294,5055
129.0,CHINA XLX FERTILISER LIMITED,No,Sì,No,No,No,SG,2015,C1,2023,3323219.96049666,10390
479.0,CHINA SUNSINE CHEMICAL HOLDINGS LTD,No,Sì,No,No,No,SG,2059,C1,2023,492928.497716427,2100
816.0,CINKARNA CELJE DD,No,Sì,No,No,Sì,SI,2059,U1,2023,205373.182168961,742
19.0,PTT GLOBAL CHEMICAL PCL,No,Sì,No,No,Sì,TH,2059,C1,2023,18331378.3981141,11202
393.0,TOA PAINT (THAILAND) PCL,No,Sì,No,No,No,TH,2030,C2,2023,654663.767429925,4319
461.0,GLOBAL GREEN CHEMICALS PCL,No,Sì,No,No,No,TH,2013,C2,2023,518843.262138717,279
562.0,ASIA GREEN ENERGY PCL,No,Sì,No,No,No,TH,2011,C1,2023,387635.316026807,548
821.0,S & J INTERNATIONAL ENTERPRISES PCL,No,Sì,No,No,No,TH,2042,C1,2023,202267.310551293,1818
335.0,AKSA AKRILIK KIMYA SANAYII A.S.,No,Sì,No,No,No,TR,2059,C1,2023,812778.885150369,1435
810.0,HEKTAS TICARET TURK A.S.,No,Sì,No,No,No,TR,2020,C1,2023,206883.612197571,621
1117.0,MARSHALL BOYA VE VERNIK SANAYI A.S.,No,Sì,No,No,No,TR,2030,C1,2023,106338.2840521,249
1268.0,EGE GUBRE SANAYII A.S.,No,Sì,No,No,No,TR,2015,C2,2023,78008.4326867275,539
1237.0,CATHAY CONSOLIDATED INC.,No,Sì,No,No,No,TW,2016,C1,2023,84537.6305409372,376
"1545.0,""SENTIEN PRINTING FACTORY CO.,LTD"",No,Sì,No,No,No,TW,2030,C1,2023,38380.6095299572,232"
"1604.0,""ALFOT TECHNOLOGIES CO.,LTD"",No,Sì,No,No,Sì,TW,2013,C1,2023,29729.2671632059,255"
27.0,MOSAIC COMPANY (THE),No,Sì,No,No,No,US,2015,C1,2023,13696100.0,10352
29.0,AIR PRODUCTS & CHEMICALS INC,No,Sì,No,No,Sì,US,2011,C1,2023,12600000.0,23000
30.0,WESTLAKE CORP,No,Sì,No,No,Sì,US,2016,C1,2023,12548000.0,15520
25.0,KENVUE INC,No,Sì,No,No,No,US,2042,C1,2023,15444000.0,22000
24.0,ESTEE LAUDER COMPANIES INC. (THE),No,Sì,No,No,No,US,2042,C1,2023,15937000.0,62000
1765.0,JOINT STOCK COMPANY DZERZHINSKIY OPYTNYY ZAVOD AVIATSIONNYKH MATERIALOV,No,Sì,No,No,No,UZ,2059,C1,2023,7480.16154537071,443
384.0,LOC TROI GROUP JOINT STOCK COMPANY,No,Sì,No,No,No,VN,2020,C1,2023,674099.876910329,2929
458.0,CONG TY CO PHAN PHAN BON DAU KHI CA MAU,No,Sì,No,No,No,VN,2015,C1,2023,526713.382677421,1300
531.0,CONG TY CO PHAN PHAN PHOI KHI THAP AP DAU KHI VIET NAM,No,Sì,No,No,Sì,VN,2011,C1,2023,414426.023605255,280
540.0,CONG TY CO PHAN TAP DOAN HOA CHAT DUC GIANG,No,Sì,No,No,Sì,VN,2059,C1,2023,408447.765483406,2528
592.0,BINH DIEN FERTILIZER JOINT STOCK COMPANY,No,Sì,No,No,Sì,VN,2015,C1,2023,359855.390223101,1189
181.0,AECI LIMITED,No,Sì,No,No,Sì,ZA,2059,C1,2023,2024711.29596233,7235
