;Ragione socialeCaratteri latini;Codice ISO paese;Ultimo anno disp.;"Totale valore della produzione
migl USD"
337.;ARTIENCE CO., LTD.;JP;2023;2.269.903
338.;AL FANAR CLOSED JOINT STOCK COMPANY;SA;2023;2.266.667
339.;PT CHANDRA ASRI PACIFIC TBK;ID;2023;2.265.402
340.;PRIME POLYMER CO., LTD.;JP;2022;2.252.240
341.;PETROKIMIA GRESIK, PT (PERSERO);ID;2012;2.251.609
342.;EDGEWELL PERSONAL CARE COMPANY;US;2023;2.251.600
343.;NUFARM LTD;AU;2023;2.251.033
344.;CNSIG INNER MONGOLIA CHEMICAL INDUSTRY CO., LTD.;CN;2023;2.234.612
345.;GONGYI HAINUO JINGSHUI MATERIAL FACTORY;CN;2018;2.215.071
346.;HEXPOL AB;SE;2023;2.202.139
347.;VIBRANTZ TECHNOLOGIES INC;US;2022;2.200.000
348.;SAUDI KAYAN PETROCHEMICAL COMPANY SAUDI JOINT STOCK COMPANY;SA;2023;2.195.187
349.;MOSAIC GLOBAL HOLDINGS INC.;US;2003;2.190.600
350.;BAOWU CARBON TECHNOLOGY CO., LTD.;CN;2022;2.188.165
351.;CHAMBAL FERTILISERS AND CHEMICALS LIMITED;IN;2023;2.184.798
352.;GODREJ INDUSTRIES LIMITED;IN;2023;2.170.581
353.;MINERALS TECHNOLOGIES INC;US;2023;2.169.900
354.;CRODA INTERNATIONAL PLC;GB;2023;2.158.030
355.;GUANGZHOU TINCI MATERIALS TECHNOLOGY CO., LTD.;CN;2023;2.156.425
356.;JOHNSON MATTHEY (SHANGHAI) CHEMICALS CO., LTD.;CN;2021;2.156.339
357.;KOPPERS HOLDINGS INC.;US;2023;2.154.200
358.;ESTEE LAUDER;BE;2023;2.153.610
359.;ZHEJIANG LONGSHENG GROUP CO.,LTD;CN;2023;2.148.773
360.;BASF KOREA CO.,LTD;KR;2023;2.148.039
361.;WILMAR SURFACTANT MATERIAL (LIANYUNGANG) CO., LTD.;CN;2022;2.146.503
362.;SP CHEMICALS (TAIXING) CO., LTD.;CN;2021;2.139.437
363.;HERCULES INC;US;2007;2.136.200
364.;SUSTINA CO LTD;JP;2013;2.131.135
365.;SHANDONG QINGHE CHEMICAL TECHNOLOGY CO., LTD.;CN;2021;2.125.634
